codigo_fundo,setor,preco_atual,liquidez_diaria,dividendo,dividend_yield,dy3_m_acumulado,dy6_m_acumulado,dy12_m_acumulado,dy3_m_media,dy6_m_media,dy12_m_media,dy_ano,variacao_preço,rentab_periodo,rentab_acumulada,patrimonio_líq,vpa,p_vpa,dy_patrimonial,variação_patrimonial,rentab_patr_periodo,rentab_patr_acumulada,vacancia_fisica,vacancia_financeira,quantidade_ativos
IRIM11,Híbrido,95.91,863.0,0.7,0.7,2.89,7.44,15.31,0.96,1.24,1.28,12.75,-2.49,-1.8,2.21,18878142.11,97.96,0.98,1.17,-0.51,0.66,2.01,0.0,0.0,0
SNCI11,Títulos e Val. Mob.,99.94,7295.0,1.0,0.99,3.13,6.95,14.6,1.04,1.16,1.22,12.25,-0.4,0.59,8.89,412571771.37,98.23,1.02,1.02,0.67,1.69,8.59,0.0,0.0,0
MCHF11,Títulos e Val. Mob.,8.95,61825.0,0.11,1.22,3.55,7.23,13.97,1.18,1.21,1.16,11.59,-1.1,0.11,-0.07,307296102.43,9.51,0.94,1.16,0.97,2.14,0.54,0.0,0.0,0
GCFF11,Títulos e Val. Mob.,71.26,251.0,0.74,1.02,3.1,6.33,12.31,1.03,1.05,1.03,10.32,-0.11,0.9,0.35,29349861.75,86.68,0.82,0.85,-0.51,0.34,-0.43,0.0,0.0,0
MORE11,Títulos e Val. Mob.,66.8,3305.0,0.6,0.85,2.52,5.82,11.51,0.84,0.97,0.96,9.69,-5.4,-4.6,2.4,203436998.05,87.72,0.76,0.68,-0.42,0.27,1.69,0.0,0.0,0
MGHT11,Hotel,57.3,5445.0,0.65,1.09,3.22,6.91,12.57,1.07,1.15,1.05,10.73,-11.06,-10.09,-24.72,11282700.75,85.88,0.67,0.76,-0.05,0.71,-7.2,0.0,0.0,0
SNFF11,Títulos e Val. Mob.,86.48,5194.0,0.65,0.73,2.2,5.15,9.68,0.73,0.86,0.81,8.19,-0.45,0.28,9.35,264131204.45,93.33,0.93,0.7,-0.95,-0.26,4.72,0.0,0.0,0
VGIP11,Outros,86.97,36074.0,0.45,0.51,2.11,6.37,14.91,0.7,1.06,1.24,11.73,-0.55,-0.05,-1.69,18160778.78,91.76,0.95,0.49,0.25,0.74,8.23,0.0,0.0,0
GCRI11,Títulos e Val. Mob.,92.23,1787.0,1.1,1.16,3.58,7.83,15.99,1.19,1.3,1.33,13.46,0.14,1.3,9.58,11481958.74,96.42,0.96,1.14,-1.96,-0.84,0.82,0.0,0.0,0
NAVT11,Títulos e Val. Mob.,76.0,261.0,0.85,1.07,3.2,6.71,12.71,1.07,1.12,1.06,11.08,-0.06,1.0,22.1,97722397.41,92.67,0.82,0.92,0.0,0.92,1.75,0.0,0.0,0
MGCR11,Títulos e Val. Mob.,82.84,507.0,1.0,1.14,3.99,8.34,15.36,1.33,1.39,1.28,13.11,-0.55,0.59,12.97,130596784.55,91.82,0.9,1.25,0.75,2.01,4.16,0.0,0.0,0
BTLG11,Logística,98.67,32098.0,0.74,0.73,2.19,4.46,8.64,0.73,0.74,0.72,7.26,-0.72,0.01,6.04,1860854582.4,97.82,1.01,0.76,-0.15,0.6,1.85,0.0,2.0,16
OURE11,Títulos e Val. Mob.,80.78,1149.0,1.05,1.29,3.86,8.08,14.81,1.29,1.35,1.23,12.21,-4.49,-3.26,6.9,101291747.02,94.04,0.86,1.12,-0.29,0.82,12.28,0.0,0.0,0
RECX11,Outros,98.7,35167.0,0.8,1.1,3.22,6.14,12.34,1.07,1.02,1.03,10.08,-2.34,-1.27,-15.51,17782714.28,81.46,1.21,0.98,-0.03,0.96,-2.7,0.0,0.0,0
OUFF11,Títulos e Val. Mob.,65.23,2196.0,0.7,1.04,3.21,6.68,12.73,1.07,1.11,1.06,10.9,-5.58,-4.6,14.65,145731104.29,80.32,0.81,0.87,-0.99,-0.13,10.38,0.0,0.0,0
AFHI11,Títulos e Val. Mob.,93.8,3421.0,0.95,0.99,3.21,7.29,15.06,1.07,1.21,1.25,12.5,-1.66,-0.69,6.06,28929478.44,95.72,0.98,0.99,0.46,1.46,4.93,0.0,0.0,0
ARCT11,Híbrido,89.76,9914.0,0.77,0.83,2.52,6.31,15.9,0.84,1.05,1.33,12.63,-6.9,-6.13,-4.64,37029091.16,99.86,0.9,0.78,-0.16,0.62,4.79,0.0,0.0,4
BLMC11,Outros,82.22,5.0,0.7,0.85,3.05,7.03,14.03,1.02,1.17,1.17,11.69,-4.4,-3.59,-6.11,39222335.81,98.18,0.84,0.71,-0.03,0.68,3.86,0.0,0.0,0
RZAK11,Títulos e Val. Mob.,96.82,23614.0,1.4,1.46,4.57,9.6,18.11,1.52,1.6,1.51,15.4,-4.39,-2.99,17.07,318162461.02,93.49,1.04,1.55,0.89,2.45,5.56,0.0,0.0,0
MCHY11,Títulos e Val. Mob.,102.27,513.0,1.4,1.34,3.95,7.77,14.8,1.32,1.29,1.23,12.62,-3.93,-2.64,6.73,371685434.52,103.54,0.99,1.35,0.36,1.72,9.51,0.0,0.0,0
